countryName,continentId
United States,NA
Mexico,NA
Canada,NA
Guatemala,NA
Cuba,NA
Haiti,NA
Dominican Republic,NA
Honduras,NA
Nicaragua,NA
El Salvador,NA
Brazil,SA
Colombia,SA
Argentina,SA
Peru,SA
Venezuela,SA
Chile,SA
Ecuador,SA
Bolivia,SA
Paraguay,SA
Uruguay,SA
China,AS
India,AS
Indonesia,AS
Pakistan,AS
Bangladesh,AS
Japan,AS
Philippines,AS
Vietnam,AS
Iran,AS
Turkey,AS
Russia,EU
Germany,EU
France,EU
England,EU
Italy,EU
Spain,EU
Ukraine,EU
Scotland,EU
Wales,EU
Poland,EU
Nigeria,AF
Ethiopia,AF
Egypt,AF
Democratic Republic of Congo,AF
South Africa,AF
Tanzania,AF
Kenya,AF
Uganda,AF
Algeria,AF
Sudan,AF
Australia,OC
Papua New Guinea,OC
New Zealand,OC
Fiji,OC
Solomon Islands,OC
Micronesia,OC
French Polynesia,OC
Vanuatu,OC
New Caledonia,OC
Samoa,OC
